Resumed from models/iter_050.pt
Iter 225/250 | Loss: 1.2987 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 264s
Iter 226/250 | Loss: 1.2890 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 266s
Iter 227/250 | Loss: 1.2470 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 275s
Iter 228/250 | Loss: 1.2725 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 287s
Iter 229/250 | Loss: 1.2808 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 265s
Iter 230/250 | Loss: 1.2364 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 265s
Iter 231/250 | Loss: 1.2840 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 264s
Iter 232/250 | Loss: 1.2769 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 265s
Iter 233/250 | Loss: 1.2544 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 261s
Iter 234/250 | Loss: 1.2739 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 263s
Iter 235/250 | Loss: 1.2061 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 259s
Iter 236/250 | Loss: 1.2332 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 259s
Iter 237/250 | Loss: 1.2608 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 263s
Iter 238/250 | Loss: 1.2167 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 258s
Iter 239/250 | Loss: 1.2259 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 260s
Iter 240/250 | Loss: 1.2600 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 259s
Iter 241/250 | Loss: 1.2665 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 263s
Iter 242/250 | Loss: 1.2247 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 259s
Iter 243/250 | Loss: 1.2301 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 265s
Iter 244/250 | Loss: 1.2333 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 261s
Iter 245/250 | Loss: 1.2058 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 260s
Iter 246/250 | Loss: 1.1868 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 264s
Iter 247/250 | Loss: 1.1894 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 269s
Iter 248/250 | Loss: 1.2027 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 263s
Iter 249/250 | Loss: 1.2104 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 262s
Iter 250/250 | Loss: 1.2261 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 265s
  -> Saved checkpoint: models/iter_250.pt
